rfp_title,biz_domain,detail_desc
데이터 표준 준수,데이터구축및이관,"<연계데이터 관리>
○ 제안사는 _공공데이터 관리지침_에 근거하여 효율적이고 안정적인 연계 데이터간의 상호 운용성 확보 및 정합성을 관리
- 내·외부 DB간 송_수신하는 연계데이터 목록을 정의하고 최신성을 유지
* 연계데이터 관리 항목 : 송·수신 구분, 주기, 항목, 데이터 타입·길이, 테이블·컬럼 정보, 오너십 정의 등
- 타 시스템과 연동이 용이하도록 Open-API 등을 지원
- 외부 데이터의 연계시, 반드시 데이터의 정합성을 체크, 로그 관리"
실지감사,디지털감사,○ 타부서 이동 시 본인이 이전 부서에서 생산한 전체문서 열람 기능
감사청구,디지털감사,"* 실지감사는 일반감사 표준 프로세스를 활용하되, 감사청구 특성 업무는 모듈화하여 표준 프로세스와 연계하는 방안을 제시"
심사청구,디지털감사,○ 과거 처리내용에 대한 다양한 조건의 검색/관리기능 제공
재심의,디지털감사,○ 과거 처리내용에 대한 다양한 조건의 검색/관리기능 제공
그룹웨어,전자결재/메신저,○ 타부서 이동 시 본인이 이전 부서에서 생산한 전체문서 열람 기능
개발 시스템 및 설계ㆍ구현,공통기반,"○ 최신의 전자정부 표준 프레임워크를 적용
- 전자정부 표준 프레임워크와 상호 호환되는 콘텐츠 관리시스템을 기반으로 홈페이지를 구축
- 시스템 확장성 및 유지관리 효율성을 확보하여 표준 프레임워크를 적용
- 개발된 소프트웨어는 공통 컴포넌트 수준의 개발 표준을 준수하여 시스템 교체 등의
다양한 디바이스 환경에 일관성 있게 서비스를 제공"
개발 시스템 및 설계ㆍ구현,공통기반,"○ 제조사의 지속적인 기술지원이 가능한 개발 툴 및 언어를 사용하여야 하며, 유지관리 용이성을 위하여 범용적으로 사용하고 있는 언어를 선정"
개발 시스템 및 설계ㆍ구현,공통기반,"○ 기존 시스템 운영에 영향을 주지 않는 프로그램을 구현
- 기 구축되어 있는 시스템 구조 및 전체 표준과 호환성, 시스템 통합 및 분석설계,
데이터유형, 프로세스 환경 유형, 사용자 유형, 시스템 간 물리적 네트워크 연결 구성을 고려하여 구조를 설계"
법ㆍ규정 준수,공통기반,"○ 정보시스템 및 웹사이트 구축 관련 지침을 준수
- 행정기관 및 공공기관 정보시스템 구축ㆍ운영지침(행정안전부)
- 행정ㆍ공공기관 웹사이트 구축ㆍ운영가이드(행정안전부)
- 전자정부 웹사이트 품질관리 지침(행정안전부)
- 행정기관의 코드표준화 추진지침(행정안전부)
- 정보시스템 구축 발주자를 위한 표준 프레임워크 적용 가이드(한국지능정보사회진흥원)
- 행정기관 정보시스템 접근권한 관리 규정(행정안전부)
- 공공기관의 데이터베이스 표준화 지침(행정안전부)
- 웹접근성 향상을 위한 국가표준 기술 가이드라인(행정안전부)
- 전자정부 웹사이트 품질관리 지침(행정안전부)
- 장애인ㆍ고령자 등의 정보 접근 및 이용 편의 증진을 위한 고시(과학기술정보통신부)
- 한국형 웹콘텐츠 접근성 지침 2.1(과학기술정보통신부)
- 모바일 전자정부 서비스 관리 지침(행정안전부)"
법ㆍ규정 준수,공통기반,"○ 정보보호 관련 지침을 준수
- 국가 정보보안 기본지침(국가정보원)
- 감사원 정보보안 기본지침(감사원)
- 홈페이지 보안관리 매뉴얼(국가사이버안전센터)
- 웹사이트 SW(웹) 개발보안 가이드(행정안전부)
- 소프트웨어 개발보안 가이드(행정안전부)
- 홈페이지 취약점 진단ㆍ제거 가이드(한국인터넷진흥원)
- Web 2.0 정보보호 실무가이드(행정안전부)
- 소프트웨어 보안약점 진단 가이드(행정안전부)"
법ㆍ규정 준수,PMO/QC,○ 시스템 구축 기간 내 적용 법령ㆍ규정 변경 시 이를 반영하여 개발
법ㆍ규정 준수,PMO/QC,"○ 제안사는 제안요청서 및 제반관련 법규정에 의하여 수행함을 원칙으로 하며, 제안요청서의 문구, 용어의 해석과 과업의 범위 등에 대하여 감사원과 의견을 달리하는 경우는 상호 간 협의"
법ㆍ규정 준수,PMO/QC,○ 사업수행 과정에서 정보통신공사 등 관련 법령에 따라 자격요건을 갖추어야 할 경우 해당 자격요건을 갖춘 자가 수행
PMO 및 감리,PMO/QC,"○ 사업관리, 개발방법론, 개발표준 등은 감사원과 협의하여 진행하여야 하며, 감사원의 업무 수행을 적극 지원
※ 제안사는 전문 사업관리(PMO, 품질관리팀) 조직을 구성"
PMO 및 감리,PMO/QC,"○ 제안사는 자체 PMO를 통하여 관련 규정, 절차 등 관리감독 업무를 적극 이행 협조"
PMO 및 감리,PMO/QC,"○ 정보시스템 감리는 정보시스템 감리기준(행정안전부 고시)”의 규정을 적용
○ 본 사업은 정보시스템 감리 대상으로 한국지능정보사회진흥원의 _정보화사업 감리수행 가이드_에 기재된 사항을 점검할 수 있도록 감리법인이 점검하기 위한 산출물을 작성하여 제출
○ 제안사는 감리업체의 검수지원 및 감리결과 지적사항 등 감리수행에 적극 협조하여야 하며, 감리 준비 및 인터뷰 등 대응에 따른 소요되는 공수가 사업 진행에 영향을 미치지 않도록 일정을 계획하고 편성
○ 감리업체의 사업수행 점검 및 평가결과에 따른 후속조치를 적극 반영하여 사업수행의 효율성, 안전성, 완결성을 도모"
