detail_id,detail_title
COR-001-0101,[공통기반] 관리시스템 홈페이지 구축
COR-001-0201,[공통기반] 제조사 지속적 기술지원 기능 개발
COR-001-0301,[공통기반] 시스템 물리적 네트워크 연결 구성
COR-002-0101,[공통기반] 규정 공공기관 데이터베이스 지침 표준화 체계 수립
COR-002-0201,[공통기반] 실무가이드 소프트웨어 보안약점 진단 체계 수립
COR-002-0301,[PMO/QC] 기간 법령 규정 변경 반영 절차 수립
COR-002-0401,[PMO/QC] 규정 문구 용어 해석 수립
COR-002-0501,[PMO/QC] 규정 사업수행 정보통신공사 자격요건 수립
COR-003-0101,[PMO/QC] 사업관리 PMO 품질관리팀 조직 구성
COR-003-0201,[PMO/QC] 규정 절차 관리감독 PMO 이행 계획 수립
COR-003-0301,[PMO/QC] 감리결 지적사항 감리수행 PMO 준비 절차 수립
COR-003-0401,[PMO/QC] 구축결과서 통합대상 검토결 PMO 관리체계 수립
COR-004-0101,[PMO/QC] 표준코드 존재 행정정보데이터베이스 데이터표준화 표준화 체계 수립
COR-004-0201,[PMO/QC] 품질관리 방안 데이터표준화 마련
COR-004-0301,[PMO/QC] 연계절차 정부디렉토리서비스 LDAP 데이터표준화 연계 체계 구축
COR-004-0401,[PMO/QC] 참조 DB설계 분석정보 표준모델 작성 체계 수립
COR-005-0101,[PMO/QC] 제출 기술적용계획 결과표 첨부 검토 절차 수립
COR-006-0101,[PMO/QC] 충실히 이행할 있도록 개인정보보호법 기능 개발
COR-006-0201,[공통기반] 보안 SSL 개인정보보호법 도입
COR-007-0101,[UI/UX] 브라우저 정상적 실행 웹표준 준수 체계 수립
COR-007-0201,[UI/UX] 모바일 전자정부서비스 웹호환성 확보 방안 수립
COR-008-0101,[공통기반] 개발보안 모든 응용소프트웨어 시큐어코딩 기능 개발
COR-009-0101,[UI/UX] 시스템 확장성 유지관리 효율성 확보 방안 수립
COR-009-0201,[UI/UX] 소프트웨어 공통컴포넌트 개발표준 호환성 준수 체계 수립
COR-009-0301,[UI/UX] 접근성 보장 장애인차별금지법 준수 체계 수립
COR-010-0101,[PMO/QC] 데이터 접근 제약사항 DBMS 수립
COR-011-0101,[공통기반] 제조사 지속적 기술지원 개발언어 기능 개발
COR-012-0101,[공통기반] 사업금액 동종 성능 호환 기능 제공
COR-013-0101,[공통기반] 변경 규정 시스템 개발 적용 방안 수립
